,No,Kecamatan,Kelurahan,Kode Kel,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,J_M_Non,IR_Non,CFR_Non,2017,2018,2019,2020,ABJ,Strata_E,Kelas_Endemis,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_RW,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,Mini_Market,Toko Kelontong,Resto_RM,WM_Kedai,BPR,KUD,IRT,Total_T_Ibadah,kop_total,pasar_total,instansi_kesehatan,toko_obat
11,12.0,Ngaliyan,Beringin,33.74.15.1003,16651.0,3.0,0.0,17.8,0.0,29.0,0.0,172.0,0.0,1.0,0.0,5.93,0.0,2.0,2.0,3.0,3.0,98.44,1.0,Endemis,72.92,0.0,93.05,146.0,22.0,8476.0,8603.0,5002.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,4.0,170.0,0.0,34.0,0.0,0.0,0.0,51.0,0.0,0.0,2.0,4.0
12,13.0,Semarang Barat,Bojong Salaman,33.74.13.1009,8887.0,1.0,0.0,11.3,0.0,21.0,0.0,237.2,0.0,2.0,0.0,22.59,0.0,2.0,0.0,2.0,1.0,89.91,2.0,Sporadis,43.8,0.0,50.0,58.0,9.0,4202.0,4432.0,2841.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1453.0,1.0,39.0,227.0,3.0,116.0,0.0,130.0,0.0,0.0,0.0,20.0,5.0,1.0,5.0,2.0
13,14.0,Semarang Barat,Bongsari,33.74.13.1008,13270.0,5.0,0.0,37.7,0.0,16.0,0.0,120.8,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,5.0,94.29,2.0,Sporadis,55.8,0.0,79.7,63.0,8.0,6448.0,6652.0,4229.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,44.0,394.0,2.0,194.0,0.0,114.0,0.0,0.0,0.0,40.0,3.0,0.0,0.0,2.0
14,15.0,Semarang Tengah,Brumbungan,33.74.01.1002,3987.0,0.0,0.0,0.0,0.0,5.0,0.0,125.5,0.0,2.0,0.0,50.2,0.0,0.0,1.0,0.0,0.0,91.69,2.0,Sporadis,25.62,0.0,30.39,35.0,5.0,1939.0,2199.0,1492.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1955.0,1.0,32.0,3770.0,3.0,70.0,7.0,40.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0
15,16.0,Mijen,Bubakan,33.74.14.1002,2651.0,1.0,1.0,36.8,36.8,4.0,0.0,147.3,0.0,1.0,0.0,36.83,0.0,0.0,0.0,0.0,1.0,94.94,2.0,Sporadis,97.42,61.02,241.28,18.0,5.0,1434.0,1384.0,908.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0,0.0,1.0,21.0,4.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0
16,17.0,Semarang Timur,Bugangan,33.74.03.1006,8360.0,0.0,0.0,0.0,0.0,3.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,95.4,2.0,Sporadis,53.8,0.0,67.8,68.0,7.0,3866.0,4239.0,2855.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1538.0,0.0,0.0,0.0,4.0,0.0,3.0,47.0,0.0,0.0,0.0,14.0,1.0,4.0,2.0,14.0
17,18.0,Semarang Utara,Bulu Lor,33.74.02.1002,15037.0,0.0,0.0,0.0,0.0,4.0,0.0,26.6,0.0,1.0,0.0,6.66,0.0,2.0,0.0,1.0,0.0,98.6,2.0,Sporadis,50.0,0.0,60.0,79.0,11.0,7696.0,8036.0,5094.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1036.0,0.0,0.0,0.0,2.0,81.0,6.0,44.0,0.0,0.0,0.0,44.0,0.0,1.0,2.0,1.0
18,19.0,Tembalang,Bulusan,33.74.10.1004,5852.0,0.0,0.0,0.0,0.0,19.0,0.0,319.5,0.0,2.0,0.0,33.64,0.0,4.0,0.0,1.0,0.0,96.91,2.0,Sporadis,120.28,49.0,254.95,42.0,7.0,2999.0,2988.0,1851.0,8.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,1162.0,0.0,0.0,0.0,5.0,50.0,2.0,128.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,2.0
19,20.0,Semarang Selatan,Bulustalan,33.74.07.1002,4707.0,0.0,0.0,0.0,0.0,3.0,0.0,64.7,0.0,1.0,0.0,21.57,0.0,0.0,0.0,0.0,0.0,95.36,4.0,Bebas,23.03,0.0,26.08,31.0,4.0,2226.0,2326.0,1554.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0
20,21.0,Semarang Barat,Cabean,33.74.13.1011,2858.0,0.0,0.0,0.0,0.0,3.0,0.0,105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.16,3.0,Potensial,20.4,0.0,27.5,25.0,3.0,1338.0,1498.0,960.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,34.0,1360.0,3.0,26.0,1.0,41.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0
