,No,Kecamatan,Kelurahan,Kode Kel,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,J_M_Non,IR_Non,CFR_Non,2017,2018,2019,2020,ABJ,Strata_E,Kelas_Endemis,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_RW,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,Mini_Market,Toko Kelontong,Resto_RM,WM_Kedai,BPR,KUD,IRT,Total_T_Ibadah,kop_total,pasar_total,instansi_kesehatan,toko_obat
51,52.0,Gunungpati,Kandri,33.74.12.1016,4719.0,0.0,0.0,0.0,0.0,3.0,0.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96.24,2.0,Sporadis,62.96,69.43,176.05,26.0,4.0,2405.0,2422.0,1527.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,38.0,0.0,9.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,3.0
52,53.0,Semarang Tengah,Karang Kidul,33.74.01.1012,4162.0,1.0,0.0,24.1,0.0,5.0,0.0,120.4,0.0,1.0,0.0,24.07,0.0,0.0,0.0,1.0,1.0,96.18,2.0,Sporadis,77.29,0.0,83.54,28.0,4.0,2030.0,2168.0,1493.0,7.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,2983.0,1.0,11.0,261.0,8.0,26.0,22.0,35.0,0.0,0.0,0.0,27.0,1.0,0.0,4.0,6.0
53,54.0,Semarang Timur,Karang Tempel,33.74.03.1010,4078.0,0.0,0.0,0.0,0.0,8.0,0.0,198.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,91.54,2.0,Sporadis,84.7,0.0,91.8,40.0,5.0,1921.0,2021.0,1364.0,9.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,2604.0,1.0,339.0,13759.0,8.0,0.0,10.0,62.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,17.0
54,55.0,Semarang Timur,Karang Turi,33.74.03.1009,2937.0,0.0,0.0,0.0,0.0,3.0,0.0,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.69,3.0,Potensial,52.2,0.0,53.2,27.0,5.0,1412.0,1498.0,987.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4467.0,0.0,0.0,0.0,11.0,0.0,8.0,7.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,26.0
55,56.0,TUGU,Karanganyar,33.74.16.1003,4061.0,0.0,0.0,0.0,0.0,1.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,95.32,2.0,Sporadis,42.26,16.83,349.21,25.0,3.0,2018.0,1988.0,1283.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,507.0,0.0,0.0,0.0,3.0,15.0,3.0,26.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0
56,57.0,Candisari,Karanganyar Gunung,33.74.08.1005,11163.0,2.0,0.0,17.9,0.0,19.0,0.0,169.7,0.0,1.0,0.0,8.93,0.0,2.0,6.0,5.0,2.0,85.4,1.0,Endemis,36.05,0.0,49.92,50.0,6.0,5494.0,5537.0,3628.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1639.0,0.0,0.0,0.0,4.0,120.0,2.0,24.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,3.0
57,58.0,Semarang Barat,Karangayu,33.74.13.1012,7799.0,0.0,0.0,0.0,0.0,6.0,0.0,77.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,94.05,2.0,Sporadis,53.6,0.0,66.1,44.0,6.0,3795.0,3913.0,2489.0,8.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1154.0,0.0,0.0,0.0,6.0,80.0,8.0,24.0,2.0,0.0,0.0,31.0,1.0,1.0,5.0,6.0
58,59.0,Mijen,Karangmalang,33.74.14.1003,2613.0,0.0,0.0,0.0,0.0,5.0,0.0,189.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.64,2.0,Sporadis,37.39,92.08,103.77,12.0,3.0,1323.0,1347.0,896.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0
59,60.0,Gajahmungkur,Karangrejo,33.74.09.1001,7233.0,0.0,0.0,0.0,0.0,11.0,0.0,151.8,0.0,1.0,0.0,13.8,0.0,1.0,1.0,3.0,0.0,96.48,2.0,Sporadis,154.55,0.0,172.31,6.0,35.0,3504.0,3628.0,2365.0,5.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,3641.0,0.0,0.0,0.0,4.0,27.0,7.0,41.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,3.0
60,61.0,Genuk,Karangroto,33.74.05.1003,13626.0,1.0,0.0,7.2,0.0,5.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,95.71,1.0,Endemis,60.2,0.0,205.5,117.0,13.0,6982.0,7033.0,4127.0,11.0,4.0,2.0,2.0,1.0,0.0,1.0,3.0,2078.0,0.0,0.0,0.0,4.0,22.0,3.0,19.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,1.0
61,62.0,Semarang Tengah,Kauman,33.74.01.1010,2528.0,1.0,0.0,39.8,0.0,3.0,0.0,119.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.54,2.0,Sporadis,25.57,0.0,28.63,17.0,5.0,1219.0,1329.0,911.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,99.0,2.0,5.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,10.0
62,63.0,Semarang Timur,Kebonagung,33.74.03.1004,4598.0,0.0,0.0,0.0,0.0,3.0,0.0,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.99,4.0,Bebas,50.3,0.0,54.3,27.0,4.0,2135.0,2392.0,1535.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,1.0,0.0,11.0,12.0,0.0,0.0,0.0,20.0,0.0,3.0,0.0,64.0
63,64.0,Tembalang,Kedungmundu,33.74.10.1009,12076.0,4.0,0.0,32.8,0.0,28.0,0.0,229.5,0.0,3.0,0.0,24.59,0.0,7.0,0.0,10.0,4.0,95.2,2.0,Sporadis,93.45,6.0,143.2,74.0,9.0,6095.0,6214.0,3760.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1119.0,2.0,310.0,9079.0,6.0,90.0,4.0,99.0,1.0,0.0,0.0,36.0,2.0,0.0,3.0,4.0
64,65.0,Mijen,Kedungpane,33.74.14.1010,7371.0,2.0,0.0,26.6,0.0,19.0,0.0,252.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.4,2.0,Sporadis,73.34,34.0,533.65,40.0,6.0,3847.0,3866.0,2402.0,9.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,3046.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
65,66.0,Semarang Barat,Kembangarum,33.74.13.1016,20161.0,5.0,0.0,24.8,0.0,23.0,0.0,114.3,0.0,1.0,0.0,4.97,0.0,2.0,1.0,3.0,5.0,94.9,1.0,Endemis,148.8,0.0,174.8,104.0,13.0,9900.0,9987.0,6275.0,11.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,1750.0,0.0,0.0,0.0,2.0,255.0,1.0,166.0,0.0,0.0,0.0,48.0,7.0,1.0,2.0,1.0
66,67.0,Semarang Tengah,Kembangsari,33.74.01.1006,3877.0,2.0,0.0,51.8,0.0,8.0,0.0,207.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.82,2.0,Sporadis,25.52,0.0,29.75,37.0,5.0,1951.0,2076.0,1395.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,3.0,5.0,34.0,35.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,2.0
67,68.0,Semarang Timur,Kemijen,33.74.03.1001,14176.0,1.0,0.0,7.1,0.0,28.0,0.0,198.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,87.37,2.0,Sporadis,129.6,0.0,140.9,82.0,11.0,6938.0,7094.0,4478.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.0,0.0,0.0,0.0,1.0,0.0,4.0,50.0,0.0,0.0,0.0,38.0,1.0,3.0,1.0,2.0
68,69.0,Tembalang,Kramas,33.74.10.1005,3655.0,2.0,0.0,54.0,0.0,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,97.54,1.0,Endemis,60.0,14.0,78.45,31.0,6.0,1874.0,1872.0,1128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,1.0,35.0,1.0,61.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0
69,70.0,Semarang Tengah,Kranggan,33.74.01.1004,4195.0,0.0,0.0,0.0,0.0,4.0,0.0,95.4,0.0,1.0,0.0,23.85,0.0,1.0,0.0,1.0,0.0,95.74,2.0,Sporadis,20.75,0.0,25.25,30.0,5.0,2005.0,2251.0,1657.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,0.0,0.0,0.0,3.0,10.0,6.0,50.0,4.0,0.0,0.0,13.0,0.0,1.0,1.0,3.0
70,71.0,Semarang Barat,Krapyak,33.74.13.1003,6504.0,0.0,0.0,0.0,0.0,9.0,0.0,138.3,0.0,1.0,0.0,15.36,0.0,0.0,0.0,0.0,0.0,93.38,3.0,Potensial,103.57,2.0,109.14,48.0,9.0,3095.0,3260.0,2112.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,2.0,16.0,452.0,4.0,37.0,18.0,28.0,0.0,0.0,0.0,41.0,0.0,1.0,1.0,2.0
71,72.0,Semarang Barat,Krobokan,33.74.13.1013,15241.0,4.0,0.0,26.4,0.0,7.0,0.0,46.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,89.82,2.0,Sporadis,62.3,0.0,82.5,91.0,13.0,7351.0,7519.0,4714.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1318.0,0.0,0.0,0.0,4.0,149.0,5.0,37.0,0.0,0.0,0.0,39.0,1.0,0.0,3.0,3.0
72,73.0,Genuk,Kudu,33.74.05.1002,8224.0,1.0,0.0,11.9,0.0,2.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,97.36,1.0,Endemis,136.5,0.0,211.93,49.0,7.0,4330.0,4242.0,2519.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,1.0,9.0,0.0,12.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
73,74.0,Semarang Utara,Kuningan,33.74.02.1005,14833.0,3.0,0.0,20.2,0.0,15.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,93.06,2.0,Sporadis,31.02,0.0,41.52,87.0,11.0,7604.0,7733.0,4888.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1216.0,0.0,0.0,0.0,2.0,175.0,10.0,16.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0,2.0
74,75.0,Semarang Selatan,Lamper Kidul,33.74.07.1009,4490.0,1.0,1.0,23.3,23.3,6.0,0.0,139.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.8,2.0,Sporadis,39.6,0.0,40.1,40.0,6.0,2023.0,2160.0,1457.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1494.0,0.0,0.0,0.0,2.0,20.0,12.0,15.0,0.0,0.0,0.0,22.0,2.0,1.0,5.0,7.0
75,76.0,Semarang Selatan,Lamper Lor,33.74.07.1008,5853.0,0.0,0.0,0.0,0.0,14.0,0.0,239.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.02,3.0,Potensial,30.22,0.0,33.22,40.0,5.0,2797.0,2973.0,1929.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,5.0,25.0,1.0,51.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0
76,77.0,Semarang Selatan,Lamper Tengah,33.74.07.1010,12142.0,0.0,0.0,0.0,0.0,17.0,0.0,140.3,0.0,1.0,0.0,8.25,0.0,2.0,0.0,8.0,0.0,94.82,2.0,Sporadis,55.0,0.0,70.0,53.0,8.0,5909.0,6083.0,3867.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1892.0,0.0,0.0,0.0,4.0,75.0,5.0,85.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,4.0
77,78.0,Gajahmungkur,Lempongsari,33.74.09.1006,5707.0,0.0,0.0,0.0,0.0,3.0,0.0,52.7,0.0,1.0,0.0,17.56,0.0,0.0,0.0,1.0,0.0,93.81,2.0,Sporadis,82.49,0.0,88.63,8.0,38.0,2757.0,2843.0,1875.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,55.0,12.0,20.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0
78,79.0,TUGU,Mangkang Kulon,33.74.16.1006,3709.0,1.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.5,2.0,Sporadis,65.37,90.54,255.35,21.0,6.0,1866.0,1896.0,1219.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2513.0,0.0,0.0,0.0,2.0,33.0,0.0,10.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,1.0
79,80.0,TUGU,Mangkang Wetan,33.74.16.1005,6508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.5,4.0,Bebas,10.51,76.8,180.25,41.0,7.0,3340.0,3123.0,2054.0,7.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,868.0,0.0,0.0,0.0,3.0,33.0,2.0,17.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0
80,81.0,Tembalang,Mangunharjo (tbl),33.74.10.1003,10139.0,7.0,0.0,67.7,0.0,29.0,0.0,280.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,94.87,1.0,Endemis,185.13,6.0,297.72,84.0,10.0,5326.0,5290.0,3243.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1570.0,0.0,0.0,0.0,3.0,52.0,0.0,10.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,4.0
81,82.0,TUGU,Mangunharjo (Tugu),33.74.16.1007,6349.0,0.0,0.0,0.0,0.0,2.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.65,2.0,Sporadis,63.54,69.79,563.02,29.0,5.0,3194.0,3178.0,2011.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,1.0,25.0,0.0,5.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,1.0
82,83.0,Gunungpati,Mangunsari,33.74.12.1002,5345.0,1.0,0.0,18.5,0.0,4.0,0.0,73.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,94.63,1.0,Endemis,66.65,58.0,99.62,26.0,5.0,2725.0,2710.0,1710.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,2.0,14.0,1.0,3.0,0.0,0.0,0.0,39.0,1.0,0.0,1.0,2.0
83,84.0,Semarang Barat,Manyaran,33.74.13.1002,17550.0,5.0,0.0,28.3,0.0,30.0,0.0,169.5,0.0,1.0,0.0,5.65,0.0,4.0,0.0,2.0,5.0,94.38,2.0,Sporadis,127.0,0.0,150.0,99.0,11.0,8728.0,8960.0,5370.0,9.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,2081.0,1.0,29.0,1981.0,5.0,225.0,0.0,124.0,0.0,0.0,0.0,55.0,3.0,0.0,1.0,5.0
84,85.0,Tembalang,Meteseh,33.74.10.1001,21018.0,15.0,0.0,70.1,0.0,51.0,0.0,238.5,0.0,1.0,0.0,4.68,0.0,12.0,3.0,15.0,15.0,98.4,1.0,Endemis,307.0,62.0,437.0,196.0,31.0,10926.0,10804.0,6404.0,33.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,1020.0,0.0,0.0,0.0,10.0,98.0,11.0,82.0,0.0,0.0,0.0,83.0,0.0,1.0,4.0,9.0
85,86.0,Mijen,Mijen,33.74.14.1008,7023.0,4.0,0.0,55.6,0.0,34.0,0.0,472.9,0.0,2.0,0.0,27.82,0.0,0.0,1.0,4.0,4.0,98.58,1.0,Endemis,46.34,31.5,436.39,43.0,7.0,3623.0,3601.0,2174.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,0.0,3.0,24.0,1.0,5.0,0.0,0.0,0.0,26.0,0.0,0.0,2.0,1.0
86,87.0,Semarang Tengah,Miroto,33.74.01.1001,4837.0,1.0,0.0,20.8,0.0,10.0,0.0,207.8,0.0,1.0,0.0,20.78,0.0,0.0,0.0,0.0,1.0,71.98,2.0,Sporadis,29.3,0.0,33.6,42.0,5.0,2362.0,2530.0,1692.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,553.0,2.0,255.0,9829.0,6.0,166.0,24.0,29.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,9.0
87,88.0,Semarang Timur,Mlatibaru,33.74.03.1003,6827.0,0.0,0.0,0.0,0.0,4.0,0.0,58.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,91.35,3.0,Potensial,54.46,0.0,58.16,64.0,9.0,3201.0,3422.0,2259.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1688.0,0.0,0.0,0.0,3.0,0.0,6.0,30.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0
88,89.0,Semarang Timur,Mlatiharjo,33.74.03.1005,5206.0,1.0,0.0,19.3,0.0,3.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,94.72,2.0,Sporadis,69.4,0.0,79.8,41.0,6.0,2503.0,2651.0,1732.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,680.0,1.0,16.0,73.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,25.0,1.0,1.0,2.0,7.0
89,90.0,Semarang Selatan,Mugassari,33.74.07.1004,7790.0,1.0,0.0,13.3,0.0,10.0,0.0,133.1,0.0,1.0,0.0,13.31,0.0,0.0,0.0,0.0,1.0,86.92,2.0,Sporadis,65.33,0.0,75.56,57.0,7.0,3569.0,3842.0,2512.0,11.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,8281.0,0.0,0.0,0.0,4.0,80.0,13.0,92.0,2.0,0.0,0.0,34.0,0.0,0.0,3.0,7.0
90,91.0,Pedurungan,Muktiharjo Kidul,33.74.06.1005,33349.0,1.0,0.0,3.0,0.0,26.0,0.0,77.6,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,97.7,1.0,Endemis,153.3,207.4,207.4,25.0,1.0,16533.0,16930.0,10296.0,25.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1876.0,0.0,0.0,0.0,8.0,130.0,0.0,66.0,0.0,0.0,0.0,49.0,0.0,2.0,2.0,4.0
91,92.0,Genuk,Muktiharjo Lor,33.74.05.1009,4011.0,0.0,0.0,0.0,0.0,3.0,0.0,75.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,95.29,2.0,Sporadis,120.0,0.0,131.98,22.0,5.0,1978.0,1968.0,1184.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,2.0,53.0,0.0,22.0,1.0,0.0,0.0,22.0,1.0,1.0,1.0,0.0
92,93.0,Mijen,Ngadirgo,33.74.14.1011,6492.0,3.0,0.0,45.3,0.0,6.0,0.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,98.16,2.0,Sporadis,213.21,109.0,389.66,41.0,9.0,3361.0,3331.0,2148.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1696.0,0.0,0.0,0.0,0.0,36.0,0.0,53.0,3.0,1.0,0.0,42.0,1.0,1.0,1.0,2.0
93,94.0,Ngaliyan,Ngaliyan,33.74.15.1007,13557.0,3.0,0.0,22.2,0.0,31.0,0.0,229.0,0.0,1.0,0.0,7.39,0.0,2.0,3.0,4.0,3.0,97.39,1.0,Endemis,57.76,2.51,255.05,88.0,12.0,6708.0,6760.0,4234.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2792.0,0.0,0.0,0.0,6.0,130.0,2.0,70.0,1.0,0.0,0.0,49.0,0.0,1.0,3.0,4.0
94,95.0,Semarang Barat,Ngemplak Simongan,33.74.13.1001,13397.0,2.0,0.0,14.9,0.0,11.0,0.0,82.1,0.0,1.0,0.0,7.47,0.0,4.0,1.0,4.0,2.0,93.99,1.0,Endemis,67.4,0.0,84.38,64.0,8.0,6502.0,6774.0,4169.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,1.0,13.0,31.0,4.0,233.0,3.0,143.0,0.0,0.0,0.0,41.0,2.0,1.0,5.0,3.0
95,96.0,Banyumanik,Ngesrep,33.74.11.1008,14475.0,0.0,0.0,0.0,0.0,30.0,0.0,207.5,0.0,5.0,0.0,34.59,0.0,1.0,1.0,7.0,0.0,94.98,2.0,Sporadis,222.1,0.0,235.88,83.0,11.0,7103.0,7254.0,4700.0,11.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,679.0,0.0,0.0,0.0,4.0,25.0,7.0,19.0,0.0,0.0,0.0,37.0,2.0,0.0,2.0,4.0
96,97.0,Gunungpati,Ngijo,33.74.12.1007,4057.0,1.0,0.0,24.1,0.0,7.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.24,2.0,Sporadis,97.58,134.74,170.95,22.0,3.0,2081.0,2074.0,1338.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,4.0
97,98.0,Gunungpati,Nongkosawit,33.74.12.1005,5153.0,1.0,0.0,19.2,0.0,1.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,92.31,1.0,Endemis,56.5,82.9,123.86,25.0,5.0,2588.0,2662.0,1676.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
98,99.0,Banyumanik,Padangsari,33.74.11.1010,12443.0,3.0,0.0,24.1,0.0,27.0,0.0,216.6,0.0,1.0,0.0,8.02,0.0,1.0,1.0,4.0,3.0,97.25,1.0,Endemis,158.5,0.0,185.0,98.0,17.0,6044.0,6434.0,4070.0,10.0,4.0,0.0,2.0,0.0,2.0,0.0,1.0,5227.0,0.0,0.0,0.0,6.0,65.0,3.0,41.0,0.0,0.0,0.0,45.0,3.0,1.0,4.0,8.0
99,100.0,Gunungpati,Pakintelan,33.74.12.1001,5552.0,1.0,0.0,17.7,0.0,5.0,0.0,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,94.53,2.0,Sporadis,48.0,74.05,192.22,26.0,6.0,2869.0,2807.0,1808.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,11.0,13.0,2.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,0.0
100,101.0,Pedurungan,Palebon,33.74.06.1011,15124.0,1.0,0.0,6.6,0.0,30.0,0.0,197.6,0.0,3.0,0.0,19.76,0.0,1.0,5.0,6.0,1.0,95.71,1.0,Endemis,95.05,146.5,146.5,11.0,1.0,7390.0,7633.0,4796.0,13.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,3936.0,2.0,196.0,6770.0,8.0,108.0,4.0,72.0,0.0,0.0,0.0,70.0,0.0,1.0,2.0,4.0
101,102.0,Semarang Tengah,Pandansari,33.74.01.1008,2564.0,0.0,0.0,0.0,0.0,4.0,0.0,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,4.0,Bebas,43.35,0.0,46.6,24.0,3.0,1275.0,1300.0,921.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,348.0,1.0,248.0,9602.0,1.0,99.0,9.0,17.0,1.0,0.0,0.0,14.0,2.0,0.0,2.0,1.0
102,103.0,Gayamsari,Pandean Lamper,33.74.04.1006,15351.0,6.0,0.0,39.2,0.0,39.0,0.0,255.1,0.0,3.0,0.0,19.62,0.0,2.0,1.0,3.0,6.0,97.82,1.0,Endemis,84.25,0.0,93.2,105.0,12.0,7413.0,7622.0,4889.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1575.0,0.0,0.0,0.0,9.0,66.0,6.0,52.0,0.0,0.0,0.0,49.0,4.0,3.0,5.0,7.0
103,104.0,Semarang Utara,Panggung Kidul,33.74.02.1007,6459.0,0.0,0.0,0.0,0.0,4.0,0.0,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.07,2.0,Sporadis,32.35,0.0,33.93,29.0,4.0,3284.0,3320.0,2149.0,10.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2012.0,0.0,0.0,0.0,2.0,21.0,8.0,27.0,0.0,0.0,0.0,33.0,1.0,1.0,0.0,1.0
104,105.0,Semarang Utara,Panggung Lor,33.74.02.1006,13661.0,0.0,0.0,0.0,0.0,18.0,0.0,131.4,0.0,3.0,0.0,21.9,0.0,4.0,0.0,1.0,0.0,97.84,2.0,Sporadis,78.5,0.0,140.0,124.0,14.0,6854.0,7420.0,5011.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2010.0,0.0,0.0,0.0,6.0,105.0,22.0,55.0,1.0,0.0,0.0,20.0,0.0,1.0,1.0,4.0
105,106.0,Gunungpati,Patemon,33.74.12.1008,5333.0,1.0,0.0,18.3,0.0,7.0,0.0,128.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,96.49,2.0,Sporadis,126.7,284.69,211.59,27.0,7.0,2763.0,2693.0,1667.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,646.0,0.0,0.0,0.0,4.0,52.0,2.0,4.0,0.0,0.0,0.0,42.0,1.0,0.0,1.0,4.0
