,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah,member
count,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
mean,4390.0,0.030303030303030304,0.0,0.7303030303030303,0.0,4.181818181818182,0.0,100.89393939393939,0.0,0.3333333333333333,0.3939393939393939,0.09090909090909091,0.3333333333333333,0.030303030303030304,2.8484848484848486,53.78272727272727,33.02363636363636,224.5618181818182,28.363636363636363,2280.242424242424,2333.5454545454545,1496.3333333333333,4.03030303030303,1.5151515151515151,0.48484848484848486,0.5151515151515151,0.18181818181818182,0.2727272727272727,0.12121212121212122,0.15151515151515152,517.060606060606,0.21212121212121213,28.696969696969695,911.6969696969697,0.030303030303030304,0.0,0.3939393939393939,0.09090909090909091,0.030303030303030304,0.6060606060606061,1.696969696969697,33.42424242424242,18.363636363636363,0.30303030303030304,0.030303030303030304,0.0,0.42424242424242425,2.0606060606060606,3.6363636363636362,11.757575757575758,4.181818181818182,0.696969696969697,20.757575757575758,3.0
std,1918.3358673600408,0.17407765595569785,0.0,4.1952715085323184,0.0,3.900757502192246,0.0,124.36733378231284,0.0,0.6454972243679028,0.7044232543095956,0.2919371040605711,0.47871355387816905,0.17407765595569785,0.7953463129830662,32.212940555071114,44.19319891243036,279.1252446646324,15.276244183818102,1075.0886890828772,1100.0317634876815,687.290043698195,2.0988813759483955,1.0931952056132324,0.6671399834935375,0.8337120351630757,0.6351449369310055,0.6261353324525414,0.41514875026728054,0.36410954062720957,530.2439850786817,0.4846116845975599,105.70610343319964,3431.726137136096,0.17407765595569785,0.0,0.7044232543095956,0.2919371040605711,0.17407765595569785,0.8638357026727486,1.8622038100871319,41.555708319548515,16.379900377097425,0.7699370300894939,0.17407765595569785,0.0,0.7512615652314042,1.519444675271897,2.472576867083481,5.285772785449062,3.3490161377498753,1.1035411321301214,8.104899378733455,0.0
min,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.22,0.0,20.52,5.0,278.0,299.0,184.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0
25%,3180.0,0.0,0.0,0.0,0.0,1.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.8,0.0,54.3,20.0,1639.0,1589.0,1066.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,2.0,0.0,14.0,3.0
50%,4107.0,0.0,0.0,0.0,0.0,3.0,0.0,65.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.35,2.0,138.83,26.0,2039.0,2146.0,1399.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,3.0,0.0,20.0,3.0
75%,5707.0,0.0,0.0,0.0,0.0,5.0,0.0,138.3,0.0,1.0,1.0,0.0,1.0,0.0,3.0,65.0,69.79,235.59,34.0,2882.0,2973.0,1875.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,48.0,25.0,0.0,0.0,0.0,1.0,3.0,5.0,16.0,5.0,1.0,25.0,3.0
max,8987.0,1.0,0.0,24.1,0.0,15.0,0.0,696.1,0.0,3.0,3.0,1.0,1.0,1.0,4.0,127.27,138.69,1372.17,65.0,4937.0,4927.0,2998.0,9.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2417.0,2.0,564.0,17580.0,1.0,0.0,2.0,1.0,1.0,3.0,8.0,170.0,60.0,4.0,1.0,0.0,3.0,5.0,9.0,23.0,14.0,3.0,41.0,3.0
