J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah
24670,9,1,36.4,4.0,46,0,185.9,0,0,10,1,14,9,1,331.17,0.0,374.7,128,12320,12402,7658,18,7,1,0,0,0,0,0,1826,0,0.0,0.0,0,0,1,0.0,0,0,3,79,37,0,0,0,2,3,11,41,12.0,6,70
29561,3,0,10.1,0.0,22,0,74.4,0,0,5,1,6,3,1,273.78,0.0,323.78,129,15120,15027,9641,12,6,1,1,0,0,0,0,1571,1,7.0,109.0,0,0,1,0.0,0,2,3,58,148,0,0,0,0,1,12,65,23.0,4,104
7551,0,0,0.0,0.0,11,0,145.2,0,3,0,0,0,0,3,127.27,0.0,199.57,50,3672,3850,2352,9,4,1,2,1,2,0,0,2012,1,50.0,982.0,0,0,0,0.0,0,1,4,55,21,0,0,0,1,3,9,8,5.0,3,26
6966,0,0,0.0,0.0,16,0,228.7,0,0,1,1,0,0,2,131.21,2.0,206.21,47,3348,3558,2226,4,3,0,2,0,2,0,1,3147,1,13.0,106.0,0,0,1,0.0,0,1,3,25,20,1,0,0,0,9,4,5,3.0,11,24
13890,3,0,21.6,0.0,21,0,151.5,0,1,2,0,11,3,2,66.22,0.0,77.19,95,6633,6989,4457,8,3,0,0,0,0,0,0,485,0,0.0,0.0,1,0,2,0.0,0,1,1,45,50,1,0,0,1,3,17,24,20.0,1,62
5659,1,0,17.5,0.0,16,0,280.0,0,1,4,2,0,1,2,185.28,3.6,264.63,38,2858,2829,1780,8,1,0,0,0,0,0,0,405,2,2193.0,61810.0,1,0,1,0.0,0,2,10,26,99,0,0,0,0,4,7,7,2.0,0,16
584,0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,0,4,65.0,0.0,235.59,6,278,299,184,1,0,0,1,0,1,0,0,589,1,564.0,17580.0,1,0,0,0.0,0,1,1,6,24,0,0,0,1,3,1,11,2.0,0,14
1439,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,3,40.2,0.0,285.4,8,738,690,442,1,1,0,1,0,0,0,0,153,0,0.0,0.0,0,0,0,0.0,0,0,1,5,3,0,0,0,0,2,3,3,0.0,0,6
9660,1,0,10.3,0.0,7,0,72.1,0,2,1,0,2,1,2,74.22,0.0,202.48,46,4895,4845,3170,8,4,0,2,0,1,0,1,833,0,0.0,0.0,0,0,1,0.0,0,1,4,32,84,1,0,0,2,1,6,18,7.0,3,34
15350,2,0,12.9,0.0,15,0,96.6,0,2,2,2,7,2,1,148.9,193.9,193.9,11,7883,7836,4658,13,2,1,1,0,0,0,0,1546,0,0.0,0.0,0,0,0,0.0,0,2,5,18,22,1,0,0,0,0,2,35,12.0,1,50
