,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah,member
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
mean,4459.714285714285,0.14285714285714285,0.0,3.442857142857143,0.0,6.0,0.0,128.08571428571426,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285,2.857142857142857,70.70428571428572,0.2857142857142857,86.17571428571429,39.0,2125.4285714285716,2287.714285714286,1515.0,5.428571428571429,2.5714285714285716,0.14285714285714285,2.4285714285714284,0.0,1.1428571428571428,0.0,1.7142857142857142,2824.8571428571427,0.5714285714285714,102.85714285714286,4133.0,0.2857142857142857,0.0,1.4285714285714286,0.14285714285714285,0.0,2.0,5.142857142857143,16.142857142857142,38.857142857142854,0.42857142857142855,0.0,0.0,0.2857142857142857,2.4285714285714284,2.857142857142857,7.857142857142857,3.857142857142857,3.4285714285714284,18.857142857142858,0.0
std,1753.0555908931995,0.3779644730092273,0.0,9.108943799522377,0.0,4.795831523312719,0.0,62.570078806924656,0.0,0.3779644730092273,0.7559289460184544,0.37796447300922725,0.48795003647426666,0.3779644730092273,0.8997354108424372,32.88342077559392,0.7559289460184545,56.97381587394419,13.012814197295423,832.2573434426913,866.4915299231559,535.6357593240641,2.0701966780270626,1.2724180205607034,0.37796447300922725,1.618347187425374,0.0,1.2149857925879117,0.0,1.2535663410560174,863.1468450909591,0.5345224838248488,167.6319664934949,6940.288658742276,0.7559289460184545,0.0,1.618347187425374,0.3779644730092273,0.0,1.5275252316519468,3.8047589248453675,16.537115542808255,21.652009694472333,0.5345224838248487,0.0,0.0,0.4879500364742666,2.9920529661723823,0.6900655593423543,2.193062655175134,1.6761634196950517,3.505098327538656,4.913538149119954,0.0
min,2659.0,0.0,0.0,0.0,0.0,2.0,0.0,58.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.23,0.0,30.33,27.0,1239.0,1408.0,943.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,13.0,0.0
25%,3263.0,0.0,0.0,0.0,0.0,3.5,0.0,89.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.33,0.0,55.68,30.5,1569.5,1718.5,1160.0,4.0,1.5,0.0,2.0,0.0,0.0,0.0,1.0,2442.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,25.0,0.0,0.0,0.0,0.0,1.0,2.5,6.5,3.0,1.5,16.0,0.0
50%,4078.0,0.0,0.0,0.0,0.0,4.0,0.0,111.9,0.0,0.0,1.0,0.0,0.0,0.0,3.0,68.84,0.0,79.99,34.0,1921.0,2021.0,1364.0,5.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2604.0,1.0,11.0,106.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,20.0,35.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,3.0,2.0,18.0,0.0
75%,5494.5,0.0,0.0,0.0,0.0,6.5,0.0,159.25,0.0,0.0,1.0,0.0,0.5,0.0,3.5,80.995,0.0,87.67,43.5,2615.5,2795.0,1859.5,6.5,3.5,0.0,3.0,0.0,2.0,0.0,3.0,3065.0,1.0,176.0,7010.0,0.0,0.0,2.5,0.0,0.0,2.5,8.0,25.5,59.0,1.0,0.0,0.0,0.5,2.0,3.0,9.5,4.5,3.5,21.0,0.0
max,6966.0,1.0,0.0,24.1,0.0,16.0,0.0,228.7,0.0,1.0,2.0,1.0,1.0,1.0,4.0,131.21,2.0,206.21,64.0,3348.0,3558.0,2259.0,9.0,4.0,1.0,5.0,0.0,3.0,0.0,3.0,4467.0,1.0,357.0,14805.0,2.0,0.0,4.0,1.0,0.0,5.0,11.0,42.0,62.0,1.0,0.0,0.0,1.0,9.0,4.0,11.0,7.0,11.0,27.0,0.0
