,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah,member
count,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
mean,10954.39552238806,2.388059701492537,0.029850746268656716,22.957462686567165,0.5149253731343284,18.186567164179106,0.0,167.8097014925373,0.0,0.9552238805970149,2.0671641791044775,0.7388059701492538,3.1940298507462686,2.388059701492537,1.708955223880597,96.87298507462687,38.74514925373135,166.1397014925373,57.91044776119403,5436.917910447762,5540.925373134329,3470.8283582089553,8.962686567164178,3.2686567164179103,0.5149253731343284,1.0746268656716418,0.23134328358208955,0.4552238805970149,0.15671641791044777,0.5,1678.6194029850747,0.41044776119402987,68.51492537313433,1820.141791044776,0.1791044776119403,0.0,1.164179104477612,0.2462686567164179,0.17164179104477612,2.0,4.029850746268656,66.38059701492537,47.08955223880597,0.44029850746268656,0.04477611940298507,0.007462686567164179,0.9701492537313433,2.470149253731343,7.597014925373134,21.44776119402985,8.686567164179104,1.8656716417910448,39.791044776119406,1.0
std,6585.494312398,2.641230197997696,0.17081399581080126,21.282822954489166,3.781245915182017,15.783387054875973,0.0,126.10495203492117,0.0,1.314269125011793,2.450096702691917,1.2135147763605076,4.008407727562209,2.641230197997696,0.4878158605144961,70.74471835042513,76.03695443797785,143.8452309988525,42.88215407537111,3323.9468591621535,3354.6921166325346,2042.7149762208587,5.671995201883914,1.752180935761567,0.7826605350890958,1.066417413738842,0.48919419863394425,0.6895097053059831,0.4222118203368837,0.773139289457117,1366.9389588473502,0.8425943339094464,290.28940019536344,7108.784265373639,0.43959561507347894,0.0,1.3218466796009753,0.4324535207182857,0.3784837061675999,1.8957808318489813,3.0086099468263234,57.39322151903152,43.31463186537072,1.0223899027429986,0.24110246914628805,0.08638684255813603,1.403220241168507,2.250113776596867,4.3426879223302475,13.329579952758413,7.0095723062472,1.684922276943403,22.496474118679487,0.0
min,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.1,0.0,14.61,4.0,1008.0,945.0,653.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0
25%,5918.0,1.0,0.0,8.35,0.0,6.0,0.0,89.075,0.0,0.0,0.0,0.0,1.0,1.0,1.0,46.845,0.0,66.5,27.0,2896.25,3026.25,1972.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,828.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,16.0,0.0,0.0,0.0,0.0,1.0,5.0,12.25,5.0,0.0,24.0,1.0
50%,9408.5,2.0,0.0,18.75,0.0,14.0,0.0,149.6,0.0,1.0,2.0,0.0,2.0,2.0,2.0,73.13,0.0,124.68,49.0,4674.0,4756.0,3006.5,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,52.0,34.0,0.0,0.0,0.0,0.0,2.0,7.0,19.0,8.0,2.0,36.5,1.0
75%,14436.75,3.0,0.0,32.525,0.0,27.0,0.0,219.00000000000003,0.0,1.0,3.0,1.0,4.0,3.0,2.0,129.84,48.5,223.77249999999998,80.5,7176.5,7253.0,4609.75,12.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2063.5,0.75,10.75,100.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,97.25,64.75,0.0,0.0,0.0,1.75,3.0,10.0,26.75,11.0,3.0,49.75,1.0
max,37160.0,15.0,1.0,119.3,36.8,100.0,0.0,1130.5,0.0,8.0,12.0,6.0,26.0,15.0,3.0,331.17,468.95,1002.91,292.0,18711.0,19130.0,11224.0,33.0,9.0,4.0,5.0,2.0,3.0,2.0,4.0,8281.0,5.0,2193.0,61810.0,2.0,0.0,8.0,1.0,1.0,10.0,18.0,255.0,234.0,6.0,2.0,1.0,8.0,16.0,24.0,81.0,58.0,8.0,166.0,1.0
