J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
8817;2;0;22.7;0;4;0;45.3;0;1;0;11.33;0;1;0;2;2;91.46;2;36.38;0;46.89;70;10;4466;4662;3014;5;3;0;1;0;0;0;0;1294;1;67;1104;4;0;0;25;0;0;0;38;0;1;0;3
7595;0;0;0;0;5;0;66;0;0;0;0;0;1;0;0;0;94.74;3;15.14;0;20.52;45;6;3859;4128;2870;2;4;0;1;0;1;0;1;757;0;0;0;0;5;4;18;1;0;0;13;0;0;0;3
15910;4;0;25.1;0;40;0;251.2;0;0;0;0;0;2;5;8;4;94.57;1;222.6;0;255.64;10;89;7930;7907;5092;13;6;0;0;0;1;0;0;1389;2;53;1405;6;70;14;152;0;0;0;46;1;2;1;5
12513;1;0;8;0;24;0;191.2;0;1;0;7.97;0;2;0;3;1;93.93;2;85.5;0;92.94;67;9;6161;6224;3863;9;2;0;4;0;1;0;4;4458;1;16;340;2;23;3;5;6;0;0;44;3;1;4;7
5728;0;0;0;0;6;0;105.9;0;0;0;0;0;0;0;1;0;97.87;2;87.72;45.58;98.61;57;11;2676;2810;1879;13;4;1;1;0;1;0;0;2911;0;0;0;6;157;7;44;0;0;0;18;2;1;2;3
9182;1;0;10.7;0;28;0;298.8;0;1;0;10.67;0;2;2;4;1;94.9;1;155.9;27.5;242.7;63;10;4788;4810;2828;7;5;0;0;1;0;1;0;453;0;0;0;1;45;1;12;0;0;0;54;1;1;0;2
15977;4;0;25;0;27;0;168.6;0;0;0;0;0;4;2;7;4;91.51;1;95.32;100.8;100.8;12;1;7928;7933;4892;16;2;0;2;0;2;0;0;2832;0;0;0;4;141;6;84;1;0;0;72;1;0;5;6
16571;1;0;6;0;11;0;65.9;0;1;0;5.99;0;4;0;0;1;96.43;2;102.7;0;244.5;78;11;8350;8334;4999;12;3;3;0;0;0;0;1;2261;0;0;0;5;99;4;32;1;0;0;52;1;1;4;2
19782;3;0;15.2;0;16;0;80.8;0;0;0;0;0;6;0;0;3;94.33;2;104.1;0;114.25;105;13;9803;9769;6067;13;6;1;4;0;2;0;2;5854;1;49;1944;7;63;1;78;0;0;0;51;2;1;1;3
7234;0;0;0;0;10;0;136.2;0;1;0;13.62;0;3;1;1;0;98.86;2;34.8;17;78.66;65;12;3712;3733;2201;5;1;0;0;0;0;0;0;46;0;0;0;0;170;0;34;0;0;0;20;0;0;0;1
7309;0;0;0;0;15;0;204.1;0;0;0;0;0;0;0;0;0;91.17;3;41.06;170.3;234.96;44;10;3654;3723;2403;18;3;2;1;1;0;0;1;827;0;0;0;4;94;2;-2.22045E-16;1;1;0;60;0;1;3;4
3794;0;0;0;0;8;0;205.6;0;0;0;0;0;0;0;1;0;90.4;2;45.47;52.25;174.23;29;6;2039;1931;1254;3;1;1;0;0;0;0;0;162;0;0;0;2;12;2;12;0;0;0;35;0;0;0;0
5719;0;0;0;0;9;0;158.2;0;2;0;35.16;0;0;1;1;0;93.47;2;22.81;0;27.03;40;8;2794;3017;2061;4;2;0;1;0;1;0;1;1113;0;0;0;2;34;6;12;1;0;0;31;1;0;1;2
7521;0;0;0;0;7;0;92;0;0;0;0;0;2;3;5;0;93.4;2;145;0;207.5;51;5;3802;3889;2357;4;3;0;2;0;1;0;0;926;0;0;0;0;24;0;19;0;0;0;27;0;0;0;0
