,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah,member
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
mean,6680.666666666667,0.0,0.0,0.0,0.0,4.333333333333333,0.0,73.13333333333334,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,4.0,17.116666666666667,63.54,85.55333333333334,44.333333333333336,3391.6666666666665,3335.0,2110.6666666666665,7.333333333333333,3.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.6666666666666667,3.6666666666666665,21.333333333333332,19.666666666666668,0.0,0.0,0.0,0.6666666666666666,1.0,3.0,14.0,2.3333333333333335,0.6666666666666666,20.0,2.0
std,2305.853710306301,0.0,0.0,0.0,0.0,3.7859388972001824,0.0,76.89163370181008,0.0,0.0,1.1547005383792517,0.0,0.0,0.0,0.0,12.470061480735904,55.1194956435561,82.26414913760024,6.658328118479393,1134.3827984121292,1104.3681451400162,693.7379428381681,0.5773502691896258,1.0,0.5773502691896258,0.5773502691896257,0.5773502691896258,0.0,0.5773502691896258,0.0,776.7747421228371,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,1.5275252316519465,1.1547005383792515,13.868429375143148,8.32666399786453,0.0,0.0,0.0,1.1547005383792517,1.0,1.7320508075688772,6.244997998398398,3.214550253664318,0.5773502691896258,9.16515138991168,0.0
min,4466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.34,3.0,31.74,40.0,2284.0,2352.0,1447.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,12.0,2.0
25%,5487.0,0.0,0.0,0.0,0.0,3.0,0.0,33.05,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.925,39.9,38.205,40.5,2812.0,2737.5,1750.5,7.0,2.5,0.0,1.5,0.0,0.0,0.0,0.0,607.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.5,15.0,0.0,0.0,0.0,0.0,0.5,2.5,11.5,0.5,0.5,15.0,2.0
50%,6508.0,0.0,0.0,0.0,0.0,6.0,0.0,66.1,0.0,0.0,2.0,0.0,0.0,0.0,4.0,10.51,76.8,44.67,41.0,3340.0,3123.0,2054.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,25.0,17.0,0.0,0.0,0.0,0.0,1.0,4.0,16.0,1.0,1.0,18.0,2.0
75%,7788.0,0.0,0.0,0.0,0.0,6.5,0.0,109.7,0.0,0.0,2.0,0.0,0.0,0.0,4.0,21.005,93.81,112.46000000000001,46.5,3945.5,3826.5,2442.5,7.5,3.5,0.5,2.0,0.5,0.0,0.5,0.0,1371.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,4.0,29.0,23.0,0.0,0.0,0.0,1.0,1.5,4.0,17.5,3.5,1.0,24.0,2.0
max,9068.0,0.0,0.0,0.0,0.0,7.0,0.0,153.3,0.0,0.0,2.0,0.0,0.0,0.0,4.0,31.5,110.82,180.25,52.0,4551.0,4530.0,2831.0,8.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,1875.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,33.0,29.0,0.0,0.0,0.0,2.0,2.0,4.0,19.0,6.0,1.0,30.0,2.0
